id_aluno,idade_aluno_2020,fase_2020,turma_2020,ponto_virada_2020,pedra_2020,ian_2020,ida_2020,ieg_2020,iaa_2020,ips_2020,ipp_2020,ipv_2020,inde_2020,instituicao_ensino_aluno_2020,anos_pm_2020,inde_conceito_2020,destaque_ieg_2020,destaque_ida_2020,destaque_ipv_2020
pm-1015,12,3,R,Sim,Ametista,10.0,6.666666666666667,7.2,9.16668,7.5,8.125,9.000003333333332,8.052502,Escola Pública,2,B,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
pm-1016,12,2,E,Não,Ametista,5.0,6.0,9.6,8.500020000000001,7.5,7.916666666666668,7.11111,7.433890666666667,Escola Pública,1,B,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
pm-1017,11,2,J,Não,Ametista,10.0,8.5,8.8,9.000020000000001,7.5,7.083333333333333,8.277776666666666,8.473890666666668,Rede Decisão/União,2,B,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
pm-1018,17,5,L,Não,Quartzo,5.0,0.0,4.9,8.33334,7.5,8.541666666666666,5.388883333333333,4.995277333333333,Escola Pública,0,D,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
pm-1019,17,5,A,Não,Ágata,5.0,4.333333333333333,6.5,6.24999,7.5,8.333333333333334,6.88888,6.252775000000001,Escola Pública,0,C,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
pm-1020,18,8,A,,Quartzo,10.0,7.5,0.0,8.75001,6.875,0.0,0.0,6.250001,FIAP,3,D,Ponto a melhorar em 2021: Melhorar o seu engajamento nas ações de voluntariado.,Ponto a melhorar em 2021: As suas notas na Faculdade.,
pm-1021,12,2,M,Não,Ágata,5.0,4.5,7.8,9.000020000000001,6.875,7.1875,7.58333,6.7829180000000004,Escola Pública,1,C,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
pm-1022,8,0,F,Não,Topázio,10.0,9.0,9.9,10.000020000000001,7.5,7.5,7.5,8.780002,Escola Pública,0,A,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
pm-1024,17,5,L,Não,Quartzo,5.0,0.0,2.2,7.5,3.125,7.708333333333334,4.94444,3.7622213333333336,Escola Pública,0,D,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
pm-1027,15,5,G,Sim,Ametista,10.0,6.333333333333333,9.0,8.75001,4.375,8.90625,9.0000025,8.069793166666667,Rede Decisão/União,4,B,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
pm-1028,12,2,C,Não,Ametista,5.0,7.5,9.1,9.500020000000001,7.5,7.916666666666668,7.111106666666665,7.73389,Escola Pública,1,B,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
pm-1029,10,1,D,Sim,Ametista,5.0,9.0,8.7,9.500020000000001,7.5,8.125,9.000005,8.352502999999999,Escola Pública,1,B,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
pm-1031,8,0,B,Sim,Topázio,10.0,10.0,10.0,9.000020000000001,7.5,7.5,8.833335,9.166669,Escola Pública,0,A,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
pm-1034,11,2,N,Não,Ametista,10.0,5.5,8.5,8.000020000000001,7.5,8.125,7.944446666666668,7.751391333333333,Escola Pública,1,B,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
pm-1035,10,1,C,Não,Ametista,5.0,10.0,9.4,9.500020000000001,7.5,7.5,7.166663333333332,8.263334666666667,Escola Pública,0,B,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
pm-1036,12,1,E,Não,Quartzo,5.0,0.0,3.3,8.41668,6.875,6.458333333333334,6.833326666666666,4.701666666666667,Escola Pública,0,D,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
pm-1041,12,3,M,Não,Ametista,10.0,8.666666666666666,5.4,8.75001,7.5,7.96875,7.79167,7.793543333333334,Escola Pública,1,B,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
