id_aluno,idade_aluno_2020,fase_2022,turma_2022,ponto_virada_2022,pedra_2022,ian_2022,ida_2022,ieg_2022,iaa_2022,ips_2022,ipp_2022,ipv_2022,inde_2022,cg_2022,cf_2022,ct_2022,destaque_ieg_2022,destaque_ida_2022,destaque_ipv_2022,nota_port_2022,nota_mat_2022,nota_ing_2022,rec_ava_1_2022,rec_ava_2_2022,rec_ava_3_2022,rec_ava_4_2022,indicado_bolsa_2022,nivel_ideal_2022,ano_ingresso_2022,bolsista_2022,qtd_aval_2022
pm-851,9,1.0,L,Não,Ametista,5.0,8.583333333333334,9.682539682539682,10.00002,7.5,6.041666666666667,7.666666666666667,8.040676603174603,134.0,32.0,4.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,8.333333333333334,8.833333333333334,,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase,,Sim,Fase 2 (5º e 6º ano),2019,Não,3.0
pm-852,,0.0,I,Não,Ametista,5.0,7.166666666666666,7.88235294117647,9.000020000000001,8.75,5.625,7.5,7.347305921568628,377.0,113.0,2.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7.5,6.833333333333333,,Mantido na Fase atual,Mantido na Fase atual,,,Não,Fase 1 (4º ano),2022,Não,2.0
pm-853,,1.0,U,Sim,Ametista,5.0,7.75,9.090909090909092,9.50002,7.5,5.9375,8.83334,7.928601818181819,160.0,39.0,2.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,8.0,7.5,,Mantido na Fase atual,Promovido de Fase,,,Não,Fase 2 (5º e 6º ano),2022,Não,2.0
pm-854,,2.0,M,Não,Ametista,10.0,5.666666666666666,8.092031425364757,9.000020000000001,7.5,6.458333333333334,6.777773333333333,7.403129618406286,360.0,52.0,4.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,4.833333333333333,6.5,,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,,Não,Fase 2 (5º e 6º ano),2022,Não,3.0
pm-855,13,3.0,M,Não,Ágata,5.0,4.25,7.6875,8.75001,7.5,7.34375,5.5416575,6.355207500000001,667.0,89.0,9.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,3.0,5.5,,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase + Bolsa,Sim,Fase 5 (1º EM),2020,Não,4.0
pm-856,,5.0,B,Não,Ametista,5.0,7.166666666666667,9.27076525054466,9.16668,7.5,6.041666666666667,7.91667,7.641655050108932,257.0,15.0,7.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7.0,5.666666666666667,8.833333333333334,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,,Não,Fase 7 (3º EM),2022,Não,3.0
pm-857,,1.0,L,Não,Ametista,5.0,7.5,9.523809523809524,9.000020000000001,7.5,6.25,8.0,7.779763904761905,209.0,52.0,6.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,6.666666666666667,8.333333333333334,,Promovido de Fase,Promovido de Fase,Promovido de Fase,,Não,Fase 2 (5º e 6º ano),2022,Não,3.0
pm-858,10,2.0,D,Não,Ágata,5.0,4.583333333333333,8.39898935980926,10.00002,5.0,4.375,8.277776666666668,6.689521871961853,591.0,97.0,6.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,5.333333333333333,3.833333333333333,,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,,Não,Fase 3 (7º e 8º ano),2019,Não,3.0
pm-859,,1.0,H,Não,Ametista,5.0,8.5,8.416666666666666,9.50002,7.5,5.625,7.916665,7.729168333333334,226.0,58.0,5.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.5,7.5,,Mantido na Fase atual,Promovido de Fase,,,Não,Fase 3 (7º e 8º ano),2022,Não,2.0
pm-861,14,4.0,H,Não,Ágata,5.0,6.877777777777777,6.278011204481793,9.58335,6.875,7.1875,7.3333325,6.962409296451915,498.0,41.0,5.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,5.333333333333333,6.666666666666667,8.633333333333333,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,Sim,Fase 6 (2º EM),2020,Não,4.0
pm-862,10,1.0,R,Sim,Ametista,5.0,8.25,9.16278166278166,7.50002,7.5,6.25,8.388893333333334,7.785336999222999,206.0,50.0,6.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,8.333333333333334,8.166666666666666,,Mantido na Fase + Bolsa,Mantido na Fase atual,Promovido de Fase,,Sim,Fase 3 (7º e 8º ano),2019,Não,3.0
